compound_index,true_pkd,rf_rank,rf_pred,dl_rank,dl_pred,delta_rank
65,8.677781,713,7.3523264,3077,5.925582,-2364
66,7.5833597,1214,6.888831,3973,5.2871466,-2759
67,5.1611447,2518,6.310292,3897,5.387951,-1379
68,6.522734,2966,6.1498103,3755,5.5598993,-789
69,5.886023,2729,6.231785,3350,5.7957096,-621
70,5.6575575,1369,6.787013,4125,5.027034,-2756
71,6.58486,705,7.377695,3958,5.2963476,-3253
72,7.9172144,1260,6.8580003,2393,6.302636,-1133
73,7.0039263,2872,6.180042,4172,4.9096966,-1300
74,5.0654964,2970,6.1488094,4105,5.06594,-1135
75,5.2839885,1356,6.7974477,3865,5.4330807,-2509
76,7.5833597,1395,6.770562,2555,6.223896,-1160
77,6.7956085,1729,6.602211,4185,4.875512,-2456
78,5.67776,3005,6.1376243,3885,5.40623,-880
79,8.036212,806,7.2397947,2605,6.200391,-1799
80,7.821023,678,7.405389,2312,6.3392954,-1634
81,5.301021,1644,6.6391897,4228,4.77653,-2584
82,7.9956784,1183,6.906256,2446,6.284544,-1263
83,5.886023,2330,6.3796473,3756,5.5571413,-1426
84,5.2365646,2990,6.1421623,3997,5.2504873,-1007
85,5.5528264,2068,6.4695983,4271,4.674654,-2203
86,5.0315123,3003,6.138098,3712,5.582706,-709
87,5.0222716,412,7.7817616,2198,6.411678,-1786
88,6.5526867,2388,6.359661,3519,5.699303,-1131
89,5.1739187,1995,6.497628,3909,5.378082,-1914
90,5.346778,2234,6.407765,3914,5.3702154,-1680
91,8.244125,884,7.141762,2631,6.182017,-1747
92,5.346778,1216,6.888831,3975,5.2871466,-2759
93,5.1611447,1208,6.890552,4118,5.033377,-2910
94,6.443577,1408,6.7654357,4209,4.8083053,-2801
95,7.696804,714,7.3523264,3076,5.925582,-2362
96,5.1674848,2807,6.2064276,3223,5.859086,-416
97,5.207601,2480,6.3274555,2800,6.0729074,-320
98,6.698753,1435,6.755146,3504,5.708247,-2069
99,5.267598,2003,6.4961967,4007,5.2334905,-2004
100,8.091515,2803,6.206815,3923,5.3581533,-1120
101,5.9585676,1069,6.9664416,3535,5.6905823,-2466
102,5.408924,1994,6.497628,3910,5.378082,-1916
103,7.9172144,812,7.2321053,2700,6.1398773,-1888
104,7.634512,330,7.9896216,447,8.156656,-117
105,7.767004,427,7.768895,1491,6.9201574,-1064
106,7.850781,357,7.90087,1637,6.773289,-1280
107,5.044789,4096,5.2164383,2261,6.371504,1835
108,5.3381777,3921,5.5620794,2238,6.386161,1683
109,5.81528,4184,5.061446,2488,6.2596793,1696
110,5.982925,3954,5.512102,2099,6.4669147,1855
111,5.275716,3886,5.6039147,4045,5.1675754,-159
112,7.821023,969,7.045287,1530,6.8822436,-561
113,9.187087,295,8.067253,1345,7.024226,-1050
114,5.7447033,4064,5.283018,1959,6.5446243,2105
115,8.677781,324,8.006146,756,7.74212,-432
116,6.452102,1710,6.6096735,1232,7.124936,478
117,6.5526867,2638,6.2628565,1111,7.2432327,1527
118,6.508498,3346,6.016869,2347,6.3226805,999
119,6.619608,3780,5.742848,956,7.4274445,2824
120,6.677574,3577,5.9060445,1285,7.075185,2292
121,6.889074,3601,5.894548,1417,6.9629364,2184
122,6.7956085,3416,5.98692,1824,6.6070013,1592
123,7.6757174,767,7.2774806,268,8.403913,499
124,7.9172144,615,7.5018578,392,8.219043,223
125,6.124881,1132,6.9276485,1934,6.5529613,-802
126,8.136677,2428,6.3467193,3940,5.3365393,-1512
127,6.4558077,3107,6.095372,3217,5.8618584,-110
128,8.21254,383,7.837024,665,7.8664117,-282
129,6.3499064,3578,5.9045873,1771,6.6661997,1807
130,6.866142,2375,6.3645477,2319,6.3371267,56
131,8.008774,1720,6.6065516,1571,6.8368783,149
132,6.408824,3706,5.8171897,2176,6.4265776,1530
133,5.0969048,3846,5.6619415,4085,5.092849,-239
134,4.8477087,4217,4.9743114,4154,4.9550533,63
135,2.229148,4708,2.6922293,4683,2.5974116,25
136,2.552842,4622,3.7262645,4684,2.5952532,-62
137,2.0,4632,3.68426,4712,2.1875775,-80
138,2.3565474,4596,3.8951628,4700,2.3356228,-104
139,4.698968,4452,4.4123545,4655,3.0566413,-203
140,4.1549015,4453,4.4123545,4652,3.0620458,-199
141,2.0,4631,3.68426,4699,2.3524845,-68
142,2.0,4633,3.68426,4698,2.3591397,-65
143,2.3565474,4595,3.8951628,4686,2.5830963,-91
144,2.5686362,4598,3.8951628,4689,2.5682786,-91
145,2.3187587,4659,3.414172,4710,2.2043247,-51
146,2.2757242,4684,2.9739585,4715,1.985256,-31
147,2.2006595,4685,2.9739585,4714,1.9870778,-29
148,2.481486,4626,3.698431,4707,2.2756736,-81
149,2.552842,4625,3.698431,4708,2.268145,-83
150,2.0,4597,3.8951628,4682,2.6015794,-85
151,2.0,4630,3.68426,4697,2.3598125,-67
152,2.0,4675,3.1413214,4693,2.487396,-18
153,5.5228643,3432,5.9769707,4087,5.089734,-655
154,4.853869,2927,6.1642704,3824,5.4803753,-897
155,4.657575,2928,6.1642704,3296,5.824402,-368
156,4.1739244,2929,6.1642704,3132,5.896257,-203
157,3.58838,4559,4.066609,4214,4.791642,345
158,3.4685209,4365,4.6662626,3394,5.7749968,971
159,2.2262135,4538,4.143446,4292,4.5686474,246
160,2.8728952,4584,3.9509094,4585,3.4736114,-1
161,3.8239086,3591,5.9003286,4572,3.5449417,-981
162,2.835647,3950,5.517014,4654,3.060375,-704
163,2.6575773,3744,5.780529,4638,3.1740394,-894
164,2.5590909,3745,5.780529,4639,3.1685538,-894
165,2.0,3951,5.517014,4649,3.0731776,-698
166,7.954677,3407,5.9892483,2774,6.0947323,633
167,3.896196,4591,3.925809,4337,4.4241676,254
168,3.4647057,4636,3.6435034,4358,4.3505225,278
169,4.022276,4635,3.6609554,4455,4.0088544,180
170,3.7594504,4601,3.8733356,4021,5.203183,580
171,3.7958798,4592,3.9211705,4242,4.7471046,350
172,3.9546766,4521,4.213716,3797,5.5088773,724
173,4.3665304,4098,5.2138715,4186,4.875141,-88
174,4.698968,3971,5.4685364,3929,5.343239,42
175,3.4647057,4567,4.003142,4570,3.5584128,-3
176,3.8860564,4522,4.210847,4484,3.9076612,38
177,3.6197886,4642,3.620073,4528,3.76678,114
178,3.5361068,4641,3.6228476,4477,3.9213755,164
179,3.3187587,4624,3.7194629,4397,4.199069,227
180,3.9136398,4461,4.3703833,4385,4.254363,76
181,3.725842,4403,4.5430527,4416,4.1591296,-13
182,3.6777804,4643,3.6094878,4593,3.4192479,50
183,3.4685209,4576,3.9795432,4486,3.9035494,90
184,3.552842,4647,3.5752215,4487,3.8993683,160
185,3.6840293,4661,3.406201,4363,4.3282723,298
186,3.9829662,4656,3.4619768,4170,4.9173255,486
187,3.2636034,4593,3.9169319,2594,6.2027426,1999
188,4.3979387,4458,4.384854,4231,4.774802,227
189,4.0915146,4440,4.464829,4262,4.688449,178
190,4.301029,4317,4.7634997,3931,5.34056,386
191,3.2006593,4437,4.4699583,4580,3.5095198,-143
192,3.7033346,4396,4.5681543,4547,3.698867,-151
193,4.3565464,4062,5.28713,4258,4.7014647,-196
194,3.6197886,4542,4.1308637,4174,4.9030137,368
195,3.8041,4292,4.819852,4304,4.5451107,-12
196,3.29073,4658,3.4271474,3926,5.3517404,732
197,3.4710832,4608,3.8395486,4366,4.3223906,242
198,4.4259677,4187,5.055478,3919,5.3618917,268
199,3.809668,4488,4.303701,4160,4.944743,328
200,7.767004,4490,4.292062,4533,3.7431045,-43
201,7.7189665,4491,4.292062,4534,3.7431045,-43
202,2.30103,4548,4.1094913,4420,4.128143,128
203,5.525769,3857,5.653279,3469,5.731822,388
204,7.600326,1530,6.708169,1145,7.208699,385
205,6.999566,654,7.444734,493,8.116213,161
206,5.3767405,2651,6.2591915,893,7.5430746,1758
207,6.4813547,1310,6.8295236,661,7.8713064,649
208,6.698753,1545,6.6986027,2045,6.487242,-500
209,2.869666,4205,5.0155673,4508,3.8421223,-303
210,6.537452,2818,6.1990576,2507,6.247391,311
211,5.1191807,2809,6.2041764,2262,6.371435,547
212,4.950778,4309,4.7842083,4260,4.695531,49
213,8.091515,967,7.049288,928,7.484579,39
214,6.819702,711,7.3574767,516,8.09674,195
215,2.69897,4518,4.219899,4562,3.5857494,-44
216,8.040958,790,7.256637,1013,7.3465643,-223
217,5.199993,3801,5.7235208,1825,6.606531,1976
218,6.4316807,536,7.604095,78,8.6924095,458
219,6.942714,606,7.525272,33,8.813183,573
220,6.958213,537,7.604095,77,8.6924095,460
221,6.0808697,2149,6.4367943,891,7.543831,1258
222,5.7212234,1754,6.5966864,2000,6.515775,-246
223,6.346691,971,7.042945,567,8.046263,404
224,5.6575575,1157,6.9140096,1124,7.2184772,33
225,4.9665723,4247,4.9213614,3709,5.5839577,538
226,5.1784143,3918,5.56438,2808,6.0674267,1110
227,5.0268674,4242,4.9280815,3842,5.459443,400
228,4.0315166,4241,4.9280815,3841,5.459443,400
229,8.318759,708,7.368202,598,7.962381,110
230,8.229148,2048,6.478935,736,7.7722187,1312
231,8.60206,161,8.484043,213,8.478641,-52
232,8.69897,163,8.484043,210,8.4831,-47
233,8.05061,1919,6.522175,664,7.8681583,1255
234,8.744727,294,8.07044,256,8.416345,38
235,8.585027,162,8.484043,214,8.478641,-52
236,7.9956784,667,7.4239135,514,8.09719,153
237,6.698753,1308,6.8308444,1363,7.01015,-55
238,7.442493,1887,6.539936,1583,6.8259525,304
239,3.30103,4420,4.487689,4379,4.2686067,41
240,7.9956784,274,8.147416,566,8.049447,-292
241,4.180455,4523,4.208058,4488,3.8986855,35
242,6.124881,2359,6.3686357,239,8.449033,2120
243,2.1249387,4562,4.0427337,4636,3.1756492,-74
244,2.4881167,4531,4.1942024,4601,3.3635254,-70
245,7.7189665,3502,5.9449687,2612,6.192012,890
246,8.113509,302,8.055388,1134,7.209095,-832
247,7.567031,303,8.055388,1137,7.209095,-834
248,7.130182,307,8.055388,1135,7.209095,-828
249,8.356547,304,8.055388,1136,7.209095,-832
250,7.9172144,305,8.055388,1141,7.209095,-836
251,7.0039263,306,8.055388,1138,7.209095,-832
252,7.442493,308,8.055388,1139,7.209095,-831
253,7.6556077,309,8.055388,1140,7.209095,-831
254,8.346787,311,8.055388,1142,7.209095,-831
255,6.199214,310,8.055388,1143,7.209095,-833
256,8.468521,64,8.809988,29,8.869904,35
257,7.767004,691,7.3988934,152,8.568621,539
258,9.113509,228,8.291328,44,8.783068,184
259,8.468521,158,8.500707,26,8.891578,132
260,9.823909,10,9.365454,56,8.755791,-46
261,8.376751,3343,6.0175333,3560,5.67666,-217
262,5.2006526,4210,5.004577,4618,3.2663314,-408
263,5.853841,3934,5.5393653,4350,4.3743505,-416
264,7.5833597,1107,6.9450364,1518,6.8940687,-411
265,5.275716,3206,6.057262,470,8.133973,2736
266,5.0969048,3212,6.057262,469,8.133973,2743
267,5.154896,3205,6.057262,471,8.133973,2734
268,5.2441177,3207,6.057262,472,8.133973,2735
269,5.2839885,3208,6.057262,473,8.133973,2735
270,5.5228643,3211,6.057262,474,8.133973,2737
271,5.2596292,3213,6.057262,475,8.133973,2738
272,5.0506053,3214,6.057262,479,8.133973,2735
273,5.301021,3215,6.057262,476,8.133973,2739
274,5.6575575,3210,6.057262,477,8.133973,2733
275,7.0039263,1251,6.8613424,3102,5.9122267,-1851
276,5.3767405,3209,6.057262,478,8.133973,2731
277,6.2756424,3180,6.0681834,3240,5.8519945,-60
278,2.8538718,4157,5.102546,4584,3.4759238,-427
279,6.3978314,582,7.560606,2155,6.435773,-1573
280,6.68382,583,7.560606,2154,6.435773,-1571
281,6.2974834,1868,6.551507,1998,6.5163717,-130
282,6.2789316,2633,6.2664013,2532,6.2391367,101
283,6.32781,2122,6.4495964,1758,6.6756134,364
284,4.744725,3657,5.8503942,2720,6.122072,937
285,6.1219954,943,7.077922,2791,6.084203,-1848
286,5.214592,773,7.2706685,1450,6.946517,-677
287,6.850473,1813,6.5761714,1089,7.2757483,724
288,6.66334,2229,6.410306,154,8.557564,2075
289,6.230549,1766,6.5919123,2143,6.442873,-377
290,6.361411,2041,6.4821777,2469,6.268622,-428
291,7.454693,588,7.5502763,931,7.479979,-343
292,8.744727,462,7.6904674,250,8.433229,212
293,6.522734,200,8.374115,451,8.15021,-251
294,9.013228,265,8.185584,376,8.242759,-111
295,6.65738,186,8.434643,93,8.672861,93
296,8.920818,176,8.460035,465,8.136564,-289
297,9.267606,160,8.490457,96,8.670139,64
298,6.65738,338,7.9644074,375,8.245129,-37
299,8.183096,970,7.0451903,1189,7.15845,-219
300,9.245651,300,8.058387,614,7.935926,-314
301,6.1937523,1346,6.804861,1386,6.9906936,-40
302,6.5684752,3856,5.6587005,2508,6.2447767,1348
303,7.5883803,593,7.5463176,219,8.4691925,374
304,6.399888,926,7.0963216,2493,6.2557163,-1567
305,6.6001534,1641,6.639821,1660,6.7589436,-19
306,5.18708,3924,5.5566854,3621,5.6389017,303
307,4.8999968,4467,4.348319,1152,7.2006016,3315
308,4.299999,4392,4.5931945,2003,6.5128236,2389
309,7.954677,222,8.302535,485,8.12929,-263
310,5.700035,2550,6.2966,3614,5.64204,-1064
311,9.829739,102,8.664285,302,8.364574,-200
312,6.5684752,4267,4.860926,2633,6.180988,1634
313,2.60206,4668,3.2888327,4626,3.2262886,42
314,2.3565474,4714,2.4815295,4695,2.4367042,19
315,2.3372421,4710,2.603193,4671,2.7634904,39
316,8.094744,157,8.503108,112,8.627594,45
317,8.677781,56,8.872827,167,8.545137,-111
318,4.4388976,4400,4.5587454,4288,4.5862093,112
319,6.6018863,2115,6.451765,2879,6.024683,-764
320,6.4813547,1125,6.9324875,1272,7.091941,-147
321,7.5214334,1599,6.6650596,1669,6.7469945,-70
322,5.4736476,3449,5.971247,3876,5.422469,-427
323,6.999566,254,8.2063055,522,8.084717,-268
324,7.9956784,227,8.29183,546,8.0709095,-319
325,5.899964,323,8.015397,564,8.054604,-241
326,6.49986,264,8.190397,554,8.067604,-290
327,9.787546,367,7.8894076,672,7.8467817,-305
328,4.317854,4315,4.773492,3880,5.4167137,435
329,7.0039263,1927,6.5195737,3401,5.7722197,-1474
330,6.0413885,2176,6.42916,2947,5.98601,-771
331,7.099469,527,7.612379,414,8.194395,113
332,5.199993,1528,6.7097907,849,7.6041913,679
333,8.20066,233,8.274551,7,9.170243,226
334,7.5214334,688,7.4006987,1177,7.17042,-489
335,5.7700367,3541,5.9215617,3080,5.9237194,461
336,6.7956085,2781,6.212776,1745,6.693451,1036
337,9.1549015,726,7.331459,1075,7.288314,-349
338,6.8236194,1687,6.6245327,696,7.8191395,991
339,6.1937523,1974,6.5038433,1058,7.295973,916
340,6.408824,1973,6.5038433,1060,7.295973,913
341,6.236497,1972,6.5038433,1066,7.295973,906
342,5.9585676,1971,6.5038433,1061,7.295973,910
343,6.346691,1970,6.5038433,1062,7.295973,908
344,7.251037,1448,6.745045,780,7.6992664,668
345,5.3872056,1969,6.5038433,1065,7.295973,904
346,5.9207826,1968,6.5038433,1059,7.295973,909
347,6.443577,955,7.061987,445,8.157171,510
348,6.721018,1794,6.5811057,817,7.6547103,977
349,5.397929,1044,6.9999804,265,8.411845,779
350,7.767004,1041,6.9999804,264,8.411845,777
351,5.5228643,1664,6.6301794,443,8.161933,1221
352,5.7695255,1975,6.5038433,1057,7.295973,918
353,6.508498,3750,5.7771025,1326,7.04183,2424
354,5.2924213,1663,6.6301794,442,8.161933,1221
355,7.442493,1043,6.9999804,263,8.411845,780
356,5.58501,1661,6.6301794,440,8.161933,1221
357,5.8238797,1967,6.5038433,1064,7.295973,903
358,7.266803,1039,6.9999804,262,8.411845,777
359,7.9172144,1042,6.9999804,261,8.411845,781
360,6.2217765,3468,5.962222,833,7.6258607,2635
361,6.958213,2294,6.391983,233,8.4526615,2061
362,7.0039263,2401,6.356125,437,8.167752,1964
363,6.3009434,2508,6.31453,2205,6.4078655,303
364,5.4948363,2766,6.217846,1749,6.690838,1017
365,7.5833597,2424,6.3475537,2340,6.3258457,84
366,5.508624,2452,6.338622,2056,6.482087,396
367,6.2290745,4029,5.3717184,2381,6.3067465,1648
368,5.7958527,2751,6.2222977,1449,6.948269,1302
369,5.9585676,1595,6.669756,1300,7.0652103,295
370,6.65738,1581,6.678115,2104,6.4651046,-523
371,7.954677,1229,6.885214,235,8.4522915,994
372,5.638253,1966,6.5038433,1063,7.295973,903
373,5.7447033,3511,5.940462,984,7.4083514,2527
374,5.7212234,1155,6.9160614,759,7.740462,396
375,5.275716,1662,6.6301794,441,8.161933,1221
376,5.9585676,3084,6.1046777,967,7.419813,2117
377,5.56862,3268,6.0447125,1029,7.3336945,2239
378,6.7956085,1688,6.6245327,695,7.8191395,993
379,7.454693,1040,6.9999804,266,8.411845,774
380,6.3564487,2397,6.3579183,831,7.626954,1566
381,5.6989484,2213,6.4189024,1094,7.2705193,1119
382,6.7956085,1068,6.967057,679,7.839099,389
383,7.9956784,968,7.0488625,409,8.199074,559
384,6.7692957,2965,6.149896,2336,6.328575,629
385,6.7956085,3848,5.6601205,2216,6.4018,1632
386,5.408924,3381,6.003738,3412,5.7659516,-31
387,7.3001623,1397,6.769881,384,8.229927,1013
388,5.537587,2942,6.157286,1544,6.8722796,1398
389,5.7695255,1795,6.5811057,816,7.6547103,979
390,5.853841,1604,6.6626797,1986,6.522303,-382
391,6.408824,954,7.061987,446,8.157171,508
392,6.6380835,1921,6.5218377,633,7.9249606,1288
393,4.301029,3930,5.542445,4415,4.159454,-485
394,4.698968,2741,6.224038,2727,6.1145325,14
395,5.7408605,2903,6.169458,463,8.140471,2440
396,6.167427,3009,6.1360517,488,8.124288,2521
397,7.696804,1775,6.588287,519,8.092022,1256
398,7.617983,1608,6.6606774,542,8.072976,1066
399,4.886053,3899,5.5880437,2467,6.269829,1432
400,5.0757155,3898,5.5880437,2466,6.269829,1432
401,7.33904,1236,6.879343,1096,7.265359,140
402,4.8699846,3904,5.584706,4179,4.8887377,-275
403,8.040958,318,8.029241,861,7.577513,-543
404,6.480041,858,7.1765795,1790,6.6456375,-932
405,4.5199914,4268,4.8603325,4261,4.6898174,7
406,4.5199914,4321,4.759256,4321,4.4758787,0
407,2.30103,4672,3.2446811,4663,2.9369133,9
408,5.4473195,1468,6.7397695,1304,7.0611176,164
409,5.738238,1484,6.736367,1245,7.111699,239
410,6.6298203,1963,6.5052605,596,7.964677,1367
411,7.578396,287,8.108431,538,8.077374,-251
412,9.9763365,1086,6.958677,691,7.826972,395
413,8.508638,1087,6.958677,1079,7.285204,8
414,5.0506053,4136,5.149845,4327,4.4558525,-191
415,5.7447033,4135,5.149845,4325,4.4646606,-190
416,4.301029,4134,5.149845,4320,4.47789,-186
417,5.508624,4133,5.149845,4324,4.4671307,-191
418,9.1549015,911,7.1028976,1902,6.5655947,-991
419,9.638272,2066,6.470795,1209,7.144343,857
420,6.065451,3984,5.4559236,2825,6.0590653,1159
421,6.1803904,3985,5.4559236,2826,6.0590653,1159
422,2.9208188,4650,3.5251067,4613,3.2773848,37
423,4.899626,4367,4.661091,4121,5.030376,246
424,8.585027,692,7.398534,1414,6.9665003,-722
425,5.070576,1715,6.608649,1695,6.725852,20
426,7.50724,1714,6.608649,1651,6.763524,63
427,6.999566,464,7.6871033,1797,6.640869,-1333
428,5.10001,1605,6.662379,1928,6.557593,-323
429,4.5376005,4164,5.0967374,4293,4.5677195,-129
430,7.667966,245,8.2531185,589,7.991674,-344
431,8.6575775,1254,6.860448,126,8.604153,1128
432,8.721247,1253,6.860448,125,8.604153,1128
433,8.774691,246,8.233499,310,8.358903,-64
434,8.193142,339,7.9607472,323,8.330288,16
435,7.8965383,230,8.280201,296,8.377704,-66
436,9.645891,267,8.183442,83,8.686086,184
437,5.0861807,2129,6.447375,1832,6.6014447,297
438,9.136083,119,8.639187,461,8.140914,-342
439,3.9208183,4617,3.78425,4643,3.1361258,-26
440,7.4609237,3965,5.489344,4137,5.0015526,-172
441,7.931814,3964,5.489344,4138,5.0015526,-174
442,8.522879,3379,6.004094,4041,5.1764107,-662
443,3.9359162,4494,4.280785,4501,3.8600504,-7
444,4.0861855,4493,4.280785,4500,3.8600504,-7
445,4.0506096,4492,4.280785,4499,3.8600504,-7
446,4.318758,4495,4.280785,4498,3.8600504,-3
447,6.425853,2159,6.433135,3186,5.8730154,-1027
448,8.275724,3499,5.946699,799,7.673255,2700
449,8.30103,3498,5.946699,819,7.6498423,2679
450,9.236572,191,8.417795,1404,6.9757557,-1213
451,8.79588,76,8.750396,1157,7.1957197,-1081
452,6.4316807,3093,6.102063,3772,5.541025,-679
453,6.346691,3314,6.030854,2022,6.5024385,1292
454,3.8326824,4677,3.1155858,4664,2.9342477,13
455,3.8239086,4679,3.0766695,4651,3.0626478,28
456,3.8860564,4587,3.9392338,4627,3.2246525,-40
457,3.5850265,4663,3.3610368,4605,3.356047,58
458,3.6989698,4671,3.2659147,4662,2.940838,9
459,2.769551,4696,2.7987823,4692,2.5064397,4
460,2.552842,4687,2.880175,4681,2.6085823,6
461,2.69897,4698,2.7957284,4676,2.6970122,22
462,2.69897,4704,2.7317672,4696,2.3941247,8
463,2.30103,4706,2.6981578,4711,2.192574,-5
464,2.30103,4699,2.7821996,4706,2.298361,-7
465,2.30103,4713,2.5123339,4713,2.1100557,0
466,2.8860567,4707,2.6971886,4670,2.7842429,37
467,2.6777806,4686,2.9667246,4665,2.93414,21
468,2.30103,4695,2.813353,4659,3.0012186,36
469,2.769551,4709,2.6604335,4677,2.6875823,32
470,4.698968,4312,4.780135,4047,5.165883,265
471,4.698968,4298,4.814671,4093,5.081017,205
472,4.698968,4313,4.779999,4342,4.390743,-29
473,7.6757174,596,7.5400996,824,7.644371,-228
474,8.721247,735,7.322383,1276,7.088394,-541
475,7.154282,1903,6.531125,1100,7.2563987,803
476,6.7692957,870,7.164113,556,8.063043,314
477,2.481486,2913,6.1671576,3980,5.2836056,-1067
478,6.3009434,802,7.246628,710,7.8012924,92
479,4.251811,4118,5.16632,4276,4.6515765,-158
480,8.866461,384,7.831108,91,8.673847,293
481,9.645891,391,7.819634,117,8.617361,274
482,8.774691,351,7.9213243,950,7.4460773,-599
483,8.774691,336,7.966764,450,8.153288,-114
484,9.58838,594,7.545322,123,8.605995,471
485,9.746178,280,8.135957,19,8.924277,261
486,9.080922,816,7.2250204,381,8.234987,435
487,3.6903696,4654,3.492242,4614,3.2720954,40
488,3.2380722,4627,3.6918948,4507,3.8426814,120
489,5.638253,4616,3.7919369,4586,3.4643295,30
490,5.2936153,3441,5.974727,2388,6.304598,1053
491,6.204746,3152,6.0808253,2184,6.4205465,968
492,8.281498,745,7.3152304,282,8.387627,463
493,8.025488,704,7.378348,398,8.210689,306
494,7.1394224,612,7.5109434,480,8.133327,132
495,7.5185575,590,7.549464,511,8.100827,79
496,7.3789277,648,7.4563994,590,7.9904785,58
497,8.134304,642,7.4704,562,8.059606,80
498,6.999566,747,7.3134594,464,8.138015,283
499,8.074688,787,7.2597246,395,8.213924,392
500,6.999566,634,7.480703,521,8.086774,113
501,6.799724,1301,6.8324094,887,7.5476704,414
502,7.349013,837,7.20284,794,7.677092,43
503,9.09691,63,8.815554,28,8.884712,35
504,6.443577,1239,6.8716397,1377,6.9995594,-138
505,9.236572,2192,6.4256396,845,7.6111984,1347
506,6.958213,2141,6.441776,692,7.826318,1449
507,8.39794,3967,5.4788647,260,8.413192,3707
508,4.889407,3282,6.0400896,1750,6.6902847,1532
509,4.459995,2224,6.4138684,3981,5.282754,-1757
510,5.049971,2101,6.456913,3832,5.466708,-1731
511,5.5100274,2023,6.4877462,3982,5.278963,-1959
512,5.1999636,1857,6.560642,4141,4.9965377,-2284
513,5.8900504,1948,6.511334,3746,5.566412,-1798
514,5.1999636,2960,6.1502295,3613,5.6423097,-653
515,5.6599326,2497,6.3207145,3848,5.4511294,-1351
516,6.679646,2099,6.4578147,3670,5.605749,-1571
517,6.549597,2052,6.478294,2368,6.312784,-316
518,6.5198493,2117,6.4509397,3778,5.539357,-1661
519,6.698753,1897,6.5357733,3226,5.857974,-1329
520,6.549597,1727,6.6043444,3557,5.678595,-1830
521,7.821023,1659,6.630632,3289,5.82999,-1630
